Lattice Tensioning experiment on:,2020-12-8_140755
Coordinate:,r_0_ref,r_1_ref,r_2_ref,r_3_ref,r_4_ref,r_0_obs,r_1_obs,r_2_obs,r_3_obs,r_4_obs
x:,19.200000,33.400000,47.600000,61.800000,76.000000,18.192505,31.981030,46.312325,60.107915,74.766486
y:,27.500000,27.500000,27.500000,27.500000,27.500000,28.090975,28.583165,28.594792,28.237244,27.766307
